,키,몸무게,연간 음주 빈도,한번 섭취시 음주량,일반담배 하루 흡연량,격렬한 신체활동 일수,중증도 신체활동 일수,걷기 실천 일수,주간 아침식사 일수,체형(5단계)
0,152.0,48.0,0,0,0,0,0,4,3,3
1,160.0,62.0,0,0,10,0,6,1,3,3
2,170.0,57.0,1,0,0,0,0,0,0,3
3,160.0,50.0,0,0,0,0,0,1,2,2
4,156.0,56.0,6,4,15,0,0,1,2,3
5,157.0,52.0,6,3,0,0,0,0,3,3
6,148.0,56.0,1,0,0,0,2,3,3,4
7,149.0,47.0,2,1,0,0,0,5,3,3
8,179.0,70.0,4,1,0,2,1,6,1,2
9,163.0,50.0,1,0,0,0,2,6,3,3
10,162.0,55.0,3,1,0,0,5,4,3,3
11,165.0,53.0,3,1,0,0,1,2,3,3
12,168.0,63.0,5,2,0,0,4,5,3,3
13,173.0,86.0,2,2,0,0,1,7,0,4
14,163.0,53.0,0,0,0,1,0,2,2,3
15,155.0,52.0,3,1,0,2,0,2,3,2
16,171.0,65.0,4,1,0,6,0,7,3,2
17,167.0,54.0,2,1,0,2,1,3,0,2
18,168.0,61.0,2,2,0,3,0,7,0,3
19,181.0,92.0,2,1,0,1,0,1,3,5
20,173.0,49.0,4,1,0,2,0,2,0,1
21,178.0,81.0,5,4,0,0,0,5,0,4
22,178.0,68.0,4,3,0,5,0,7,3,2
23,186.0,75.0,4,1,0,5,0,7,1,2
24,168.0,56.0,4,1,0,1,2,2,2,3
25,165.0,80.0,6,3,4,0,2,2,0,4
26,155.0,47.0,1,0,0,0,1,7,1,3
27,179.0,90.0,5,3,0,1,0,3,1,4
28,176.0,71.0,5,1,0,0,2,3,3,3
29,162.0,63.0,2,1,20,0,0,7,0,3
30,150.0,70.0,0,0,0,0,3,3,0,4
31,169.0,82.0,1,0,12,0,0,7,0,4
32,156.0,39.0,1,0,0,0,0,4,3,1
33,168.0,54.0,0,0,12,5,0,6,0,2
34,158.0,57.0,5,3,0,0,3,5,3,3
35,165.0,63.0,6,4,20,0,0,6,3,3
36,149.0,54.0,0,0,0,0,0,7,3,3
37,168.8,66.0,4,1,0,0,0,7,2,3
38,166.0,70.0,1,0,10,7,0,0,0,3
39,149.0,49.0,1,0,0,0,0,7,0,3
40,157.0,60.0,2,1,0,0,0,6,3,3
41,158.0,54.0,4,2,0,4,0,5,0,3
42,183.0,88.0,2,2,12,2,5,5,0,4
43,158.0,70.0,1,0,0,0,0,3,3,4
44,176.0,90.0,1,0,0,0,0,7,3,5
45,172.0,75.0,4,4,0,1,0,7,2,4
46,153.0,63.0,2,1,0,1,3,7,2,5
47,158.0,47.0,4,1,0,3,0,3,3,3
48,172.0,77.0,6,1,0,4,4,4,0,3
49,171.0,67.0,4,4,0,0,0,4,3,3
50,167.0,61.0,2,1,0,0,0,7,3,3
51,158.0,59.0,3,1,0,0,0,3,3,3
52,177.0,72.0,1,0,0,2,0,3,2,3
53,158.0,45.0,1,0,0,4,4,7,3,2
54,162.0,49.0,0,0,0,0,0,3,0,2
56,163.0,67.0,3,1,0,0,0,7,3,4
57,171.0,67.0,4,3,0,3,4,7,0,4
58,183.0,80.0,3,4,0,0,1,2,0,4
59,176.0,60.0,1,0,0,2,0,0,3,1
60,164.0,67.0,1,0,0,0,0,0,3,4
62,174.0,73.0,4,3,0,0,0,7,3,5
63,185.0,90.0,5,1,0,0,0,5,0,4
65,164.0,54.0,2,2,0,0,0,7,3,2
66,159.0,50.0,2,1,0,0,0,2,3,3
67,160.0,60.0,1,0,20,0,0,7,3,2
68,159.0,57.0,1,0,0,0,0,0,3,2
69,160.0,68.0,1,0,0,0,0,4,3,4
70,150.0,58.0,4,1,0,0,0,3,3,4
71,172.0,56.0,1,0,0,7,0,7,3,1
72,168.0,80.0,4,2,0,3,0,7,0,4
74,158.0,55.0,0,0,0,0,0,7,3,2
75,168.0,90.0,4,4,0,4,0,4,0,5
76,150.0,49.0,0,0,0,0,0,0,3,2
77,162.0,67.0,0,0,0,0,7,7,3,3
78,163.0,60.0,0,0,0,0,0,7,3,3
79,155.0,50.0,6,2,0,0,0,7,3,2
81,158.0,60.0,1,0,0,0,0,3,0,4
82,164.0,83.0,4,2,0,4,4,7,0,4
83,150.0,52.0,1,0,0,0,0,4,3,3
84,155.0,48.0,4,1,0,0,0,5,3,2
85,153.0,50.0,4,1,0,0,4,7,3,2
87,158.0,53.0,1,0,0,0,0,4,0,3
88,169.0,66.0,5,3,0,3,0,7,3,3
89,188.0,94.0,4,4,0,0,0,5,2,4
90,162.0,53.0,1,0,0,0,2,4,3,3
91,177.0,71.0,3,3,0,2,2,6,3,3
92,160.0,59.0,0,0,0,0,1,7,3,3
93,190.0,100.0,4,4,10,1,1,5,3,4
94,174.0,72.0,6,1,0,3,4,7,3,3
95,168.0,51.0,5,1,0,1,3,5,3,2
96,162.0,44.0,2,1,0,3,7,7,3,2
97,160.0,52.0,5,3,0,1,1,5,3,3
98,156.0,58.0,2,1,0,0,5,6,0,4
99,168.0,80.0,4,3,0,0,2,5,3,4
100,164.0,48.0,2,2,0,2,2,3,0,2
101,164.0,53.0,5,1,0,0,0,2,3,3
102,170.0,63.0,5,2,0,0,0,4,3,3
103,161.0,53.0,4,1,0,0,0,2,3,3
104,163.0,70.0,3,2,0,1,0,3,3,4
105,171.0,69.0,5,2,0,0,0,7,0,3
106,170.0,52.7,1,0,0,1,1,2,1,2
107,176.0,78.0,4,3,0,3,3,4,1,4
108,173.0,78.0,4,3,0,0,0,1,0,3
109,165.0,52.0,3,1,0,0,0,1,2,2
110,171.0,76.0,5,2,0,0,1,5,0,4
112,149.0,60.0,0,0,0,0,0,7,0,4
114,171.0,64.0,4,4,7,0,0,4,0,3
115,169.0,70.0,4,3,0,0,0,5,0,3
116,165.0,64.0,0,0,20,0,0,5,3,3
117,165.0,60.0,1,0,0,0,0,1,3,3
118,175.0,73.0,3,2,20,0,0,7,3,2
121,158.0,57.0,4,1,0,0,0,7,3,4
122,180.0,87.0,4,3,0,0,0,6,2,4
123,170.0,89.0,2,1,0,0,0,7,1,5
124,155.0,57.0,3,2,0,0,0,4,0,4
125,163.0,61.0,2,1,0,0,3,3,0,3
126,171.0,88.0,4,3,0,2,1,7,0,4
127,175.0,68.0,3,3,0,1,0,5,0,3
128,162.0,53.0,2,1,0,3,0,7,0,3
130,172.0,55.0,4,3,0,1,0,7,0,2
131,171.0,75.0,5,1,0,0,1,7,0,4
132,166.0,54.0,2,1,0,5,4,7,3,3
133,175.0,79.0,3,2,0,1,1,3,2,4
134,168.0,58.0,6,1,0,0,3,4,3,2
135,167.0,56.0,3,3,0,4,2,7,3,3
136,167.0,56.0,4,1,0,1,2,5,2,3
137,158.0,52.0,3,1,0,0,0,3,0,3
138,161.0,53.0,1,0,0,0,0,5,3,3
139,173.0,75.0,4,3,0,1,1,1,3,4
140,162.0,68.0,2,1,0,0,0,5,3,4
141,151.0,62.0,1,0,0,0,5,1,3,4
142,170.0,60.0,1,0,0,0,0,1,3,1
143,165.0,60.0,4,2,0,0,1,4,0,3
144,183.0,87.0,2,1,0,2,4,7,3,4
145,158.0,56.0,2,1,0,5,0,7,3,3
146,165.0,59.0,3,1,0,5,0,1,3,3
