"지역별(1)","지역별(2)","지역별(3)",상품군별(1),상품군별(2),판매유형별(1),2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4 p)
"합계","소계","소계",합계,소계,계,1251122,1345723,1526135,1881628,1531212,1290332,1656729,1525174,1206923,1222986,1034913,926718,567581,505954,415148,353040,283913,462604,441568
"합계","소계","소계",합계,소계,면세점,1070693,1157158,1336372,1655635,1297490,1051987,1410967,1247495,972384,974415,795824,681168,363520,300602,211640,152113,111187,281235,271525
"합계","소계","소계",합계,소계,면세점 이외,180429,188565,189763,225993,233722,238345,245762,277679,234539,248571,239089,245550,204061,205352,203508,200927,172726,181369,170043
"합계","소계","소계",컴퓨터 및 주변기기,소계,계,3702,4038,3670,3827,4142,3814,7722,3589,4239,4450,3612,2707,2449,2867,2824,3028,3026,2527,3761
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점,2,0,1,70,113,0,3497,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,3700,4038,3669,3757,4029,3814,4225,3589,4239,4450,3612,2707,2449,2867,2824,3028,3026,2527,3761
"합계","소계","소계",가전·전자·통신기기,소계,계,21429,22798,25419,24180,12866,14052,14965,13136,10759,17117,12744,8514,47739,4298,3996,3996,4334,7656,5595
"합계","소계","소계",가전·전자·통신기기,소계,면세점,14072,15843,17370,15478,4999,5108,4777,5538,4171,10737,6695,4933,45424,2195,1316,826,334,1949,1569
"합계","소계","소계",가전·전자·통신기기,소계,면세점 이외,7357,6955,8049,8702,7867,8944,10188,7598,6588,6380,6049,3581,2315,2103,2680,3170,4000,5707,4026
"합계","소계","소계",가전·전자·통신기기,가전·전자,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3115,4089,4954
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,326,1804,1298
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2789,2285,3656
"합계","소계","소계",가전·전자·통신기기,통신기기,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1219,3567,641
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,145,271
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1211,3422,370
"합계","소계","소계",소프트웨어,소계,계,150,228,144,387,183,230,258,400,210,225,235,335,88,63,90,46,430,48,45
"합계","소계","소계",소프트웨어,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",소프트웨어,소계,면세점 이외,150,228,144,387,183,230,258,400,210,225,235,335,88,63,90,46,430,48,45
"합계","소계","소계",서 적,소계,계,6357,6081,5727,6107,6730,6760,6775,7121,11413,9128,9299,9918,8415,9196,8720,4833,5563,2816,2998
"합계","소계","소계",서 적,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",서 적,소계,면세점 이외,6357,6081,5727,6107,6730,6760,6775,7121,11413,9128,9299,9918,8415,9196,8720,4833,5563,2816,2998
"합계","소계","소계",사무·문구,소계,계,1603,1450,1577,1268,1622,1461,1407,1357,3159,1682,3078,1426,2035,2248,1492,2973,1451,1079,1589
"합계","소계","소계",사무·문구,소계,면세점,5,7,10,8,0,0,1,0,0,0,72,16,1,0,2,111,45,31,58
"합계","소계","소계",사무·문구,소계,면세점 이외,1598,1443,1567,1260,1622,1461,1406,1357,3159,1682,3006,1410,2034,2248,1490,2862,1406,1048,1531
"합계","소계","소계",음반·비디오·악기,소계,계,15193,23557,23784,26899,33208,45802,57462,77371,45259,49336,39827,42753,33512,50150,44072,41097,29374,47929,40025
"합계","소계","소계",음반·비디오·악기,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",음반·비디오·악기,소계,면세점 이외,15193,23557,23784,26899,33208,45802,57462,77371,45259,49336,39827,42753,33512,50150,44072,41097,29374,47929,40025
"합계","소계","소계",의류 및 패션 관련 상품,소계,계,125969,146698,141668,151505,88543,90629,87230,100095,83236,91319,89544,101807,75954,76116,61879,82176,55579,65070,62563
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점,47046,69090,72555,74266,26073,1058,3026,8033,6190,4854,9182,7883,2497,2876,2272,4816,3268,13393,15526
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,78923,77608,69113,77239,62470,91687,84204,92062,77046,86465,80362,93924,73457,73240,59607,77360,52311,51677,47037
"합계","소계","소계",스포츠·레저용품,소계,계,4040,4258,6484,3791,4136,5294,5239,6382,4198,3769,4924,3725,2897,2001,2625,3630,2889,1801,2569
"합계","소계","소계",스포츠·레저용품,소계,면세점,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"합계","소계","소계",스포츠·레저용품,소계,면세점 이외,4036,4258,6484,3791,4136,5294,5239,6382,4198,3769,4924,3725,2897,2001,2625,3630,2889,1798,2566
"합계","소계","소계",화장품,소계,계,1034257,1098286,1276754,1611309,1314819,1083409,1437689,1272709,995609,994735,823509,714093,357463,325040,243101,183621,146659,301477,290422
"합계","소계","소계",화장품,소계,면세점,1000553,1063855,1239233,1557171,1262739,1046875,1399059,1233379,960980,956964,779433,667209,315133,294407,206483,144713,105717,263499,251704
"합계","소계","소계",화장품,소계,면세점 이외,33704,34431,37521,54138,52080,36534,38630,39330,34629,37771,44076,46884,42330,30633,36618,38908,40942,37978,38718
"합계","소계","소계",아동·유아용품,소계,계,4514,5014,3972,5609,4257,4277,4868,4975,5186,5079,5606,4116,2891,3569,2696,2437,1969,2179,2403
"합계","소계","소계",아동·유아용품,소계,면세점,383,298,93,128,32,1,1,0,0,0,0,27,0,1,0,2,7,12,34
"합계","소계","소계",아동·유아용품,소계,면세점 이외,4131,4716,3879,5481,4225,4278,4869,4975,5186,5079,5606,4089,2891,3568,2696,2435,1962,2167,2369
"합계","소계","소계",음·식료품,소계,계,11205,9472,8986,10662,15454,3534,3132,3581,6131,7391,5660,6794,4797,5154,5314,4144,8471,5473,5818
"합계","소계","소계",음·식료품,소계,면세점,8335,7707,6859,8264,3444,1066,607,545,1043,1858,442,1100,464,1123,1567,1641,1810,2329,2543
"합계","소계","소계",음·식료품,소계,면세점 이외,2870,1765,2127,2398,12010,2468,2525,3036,5088,5533,5218,5694,4333,4031,3747,2503,6661,3144,3275
"합계","소계","소계",농축수산물,소계,계,25,39,22,40,32,40,41,37,31,25,25,16,28,23,12,6,12,11,5
"합계","소계","소계",농축수산물,소계,면세점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","소계","소계",농축수산물,소계,면세점 이외,25,39,22,40,32,40,41,37,31,25,25,16,28,23,12,6,12,11,5
"합계","소계","소계",생활·자동차용품,소계,계,9974,10091,13179,15527,10438,9659,8340,8207,8119,9312,8647,7436,3463,3876,4365,4713,6256,4178,5107
"합계","소계","소계",생활·자동차용품,소계,면세점,105,124,114,86,51,3,1,0,0,0,0,0,1,0,0,4,6,18,69
"합계","소계","소계",생활·자동차용품,소계,면세점 이외,9869,9967,13065,15441,10387,9662,8339,8207,8119,9312,8647,7436,3462,3876,4365,4709,6250,4160,5038
"합계","소계","소계",기 타,소계,계,12704,13713,14749,20517,34782,21371,21601,26214,29374,29418,28203,23078,25850,21353,33962,16340,17900,20360,18668
"합계","소계","소계",기 타,소계,면세점,188,234,137,164,39,0,0,0,0,2,0,0,0,0,0,0,0,1,19
"합계","소계","소계",기 타,소계,면세점 이외,12516,13479,14612,20353,34743,21371,21601,26214,29374,29416,28203,23078,25850,21353,33962,16340,17900,20359,18649
"아시아","소계","소계",합계,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227265,395278,367028
"아시아","소계","소계",합계,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110844,280634,270235
"아시아","소계","소계",합계,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116421,114644,96793
"아시아","소계","소계",컴퓨터 및 주변기기,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250,364,1577
"아시아","소계","소계",컴퓨터 및 주변기기,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
"아시아","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250,364,1577
"아시아","소계","소계",가전·전자·통신기기,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3785,7189,5154
"아시아","소계","소계",가전·전자·통신기기,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321,1933,1534
"아시아","소계","소계",가전·전자·통신기기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3464,5256,3620
"아시아","소계","소계",가전·전자·통신기기,가전·전자,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2783,3877,4704
"아시아","소계","소계",가전·전자·통신기기,가전·전자,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319,1788,1277
"아시아","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2464,2089,3427
"아시아","소계","소계",가전·전자·통신기기,통신기기,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1002,3312,450
"아시아","소계","소계",가전·전자·통신기기,통신기기,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,145,257
"아시아","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000,3167,193
"아시아","소계","소계",소프트웨어,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172,0,0
"아시아","소계","소계",소프트웨어,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
"아시아","소계","소계",소프트웨어,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172,0,0
"아시아","소계","소계",서 적,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2452,1391,1342
"아시아","소계","소계",서 적,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
"아시아","소계","소계",서 적,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2452,1391,1342
"아시아","소계","소계",사무·문구,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,965,854,1290
"아시아","소계","소계",사무·문구,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,31,58
"아시아","소계","소계",사무·문구,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,920,823,1232
"아시아","소계","소계",음반·비디오·악기,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21860,33582,21745
"아시아","소계","소계",음반·비디오·악기,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
"아시아","소계","소계",음반·비디오·악기,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21860,33582,21745
"아시아","소계","소계",의류 및 패션 관련 상품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34203,41564,39709
"아시아","소계","소계",의류 및 패션 관련 상품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3213,13305,15379
"아시아","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30990,28259,24330
"아시아","소계","소계",스포츠·레저용품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1973,1457,2319
"아시아","소계","소계",스포츠·레저용품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3
"아시아","소계","소계",스포츠·레저용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1973,1454,2316
"아시아","소계","소계",화장품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137497,287649,272754
"아시아","소계","소계",화장품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105529,263114,250733
"아시아","소계","소계",화장품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31968,24535,22021
"아시아","소계","소계",아동·유아용품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1393,1816,1855
"아시아","소계","소계",아동·유아용품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,12,34
"아시아","소계","소계",아동·유아용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1386,1804,1821
"아시아","소계","소계",음·식료품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6324,4625,5050
"아시아","소계","소계",음·식료품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1723,2217,2406
"아시아","소계","소계",음·식료품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4601,2408,2644
"아시아","소계","소계",농축수산물,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2
"아시아","소계","소계",농축수산물,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
"아시아","소계","소계",농축수산물,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2
"아시아","소계","소계",생활·자동차용품,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3831,2428,3019
"아시아","소계","소계",생활·자동차용품,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,18,69
"아시아","소계","소계",생활·자동차용품,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3825,2410,2950
"아시아","소계","소계",기 타,소계,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12559,12356,11212
"아시아","소계","소계",기 타,소계,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,19
"아시아","소계","소계",기 타,소계,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12559,12355,11193
"아시아","중국","소계",합계,소계,계,1057204,1141821,1319089,1666550,1329056,1096847,1457319,1317306,1009003,1014908,833575,730082,402616,347097,269352,189995,141933,315398,299381
"아시아","중국","소계",합계,소계,면세점,1012118,1092077,1270158,1599893,1253633,1034738,1392952,1229759,963384,964465,789774,675565,358933,292208,205569,145545,104133,272120,263404
"아시아","중국","소계",합계,소계,면세점 이외,45086,49744,48931,66657,75423,62109,64367,87547,45619,50443,43801,54517,43683,54889,63783,44450,37800,43278,35977
"아시아","중국","소계",컴퓨터 및 주변기기,소계,계,31,19,27,104,61,41,3563,67,46,49,49,52,19,26,28,99,58,65,761
"아시아","중국","소계",컴퓨터 및 주변기기,소계,면세점,2,0,1,70,0,0,3497,0,0,0,0,0,0,0,0,0,0,0,0
"아시아","중국","소계",컴퓨터 및 주변기기,소계,면세점 이외,29,19,26,34,61,41,66,67,46,49,49,52,19,26,28,99,58,65,761
"아시아","중국","소계",가전·전자·통신기기,소계,계,13657,14507,15180,12451,3096,2123,3249,5235,3479,10061,6666,4937,45470,2244,1321,797,343,1292,1416
"아시아","중국","소계",가전·전자·통신기기,소계,면세점,13347,14160,14778,11952,2653,1723,2933,5041,3257,9886,6558,4850,45306,2168,1286,764,201,1256,1292
"아시아","중국","소계",가전·전자·통신기기,소계,면세점 이외,310,347,402,499,443,400,316,194,222,175,108,87,164,76,35,33,142,36,124
"아시아","중국","소계",가전·전자·통신기기,가전·전자,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,339,1138,1058
"아시아","중국","소계",가전·전자·통신기기,가전·전자,면세점,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,1112,1035
"아시아","중국","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139,26,23
